hit,kapital,fix,angewandt,verausgabt,nachfrag,variabl,neu,jahrlich,verlieh,konstant,preis,erhalt,umschlag,produktiv,imm,erst,kostet,klass,zweit,war
162,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
163,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
167,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
168,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
169,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
170,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
171,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0
173,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
174,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
175,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
181,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
182,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
186,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0
187,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
188,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
191,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
192,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,18,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,36,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,63,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,34,0,3,0,0,32,0,0,0,0,0,3,0,0,0,0,0,0,0,0
199,20,0,1,0,0,19,0,0,0,3,0,1,0,0,0,0,0,0,0,0
200,26,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,32,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,19,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,25,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,31,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,18,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0
206,12,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0
207,27,0,0,0,0,35,0,0,0,3,0,0,0,0,0,0,0,0,0,0
208,33,0,0,0,0,41,0,0,0,4,0,0,0,0,0,0,0,0,0,0
209,19,0,0,0,0,47,0,0,0,5,0,0,0,0,3,0,0,0,0,0
210,25,0,3,0,0,53,0,0,0,11,0,0,0,0,1,0,0,0,0,0
211,31,0,4,0,0,59,0,0,0,17,0,0,0,0,0,0,0,0,0,0
212,37,0,2,0,0,32,0,0,0,8,0,0,0,0,0,0,0,0,0,0
213,43,0,1,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,0,3
214,24,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,4
215,15,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2
216,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
222,15,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
223,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
224,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,7,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
226,6,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0
227,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
228,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
229,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
230,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,9,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
233,7,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
234,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
235,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
236,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
237,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
238,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
239,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
240,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
241,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
242,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
243,65,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
244,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
248,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
249,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
250,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
253,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
254,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0
255,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
256,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
257,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
258,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
259,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
261,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
262,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
263,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
264,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
265,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
266,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
267,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
268,6,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
269,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
270,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
273,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
274,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
275,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
276,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,69,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0
279,75,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
280,40,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
281,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
282,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
288,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
289,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
290,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
291,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
292,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,12,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
294,18,0,0,0,0,4,0,18,0,0,0,0,0,0,0,0,3,0,0,0
295,12,0,0,0,0,2,0,12,0,3,0,0,0,0,0,0,4,0,0,0
296,18,0,0,0,0,12,0,6,0,4,0,0,0,0,0,0,2,0,0,0
297,36,0,0,0,0,27,0,3,0,5,0,0,0,0,0,0,1,0,0,0
298,84,0,0,0,0,50,0,1,0,11,0,0,0,0,0,0,0,0,0,0
299,135,0,0,0,0,28,3,0,0,8,0,0,0,0,0,0,3,0,0,0
300,211,0,0,0,0,17,4,0,0,7,0,0,0,0,0,0,4,0,0,0
301,217,0,0,0,0,11,5,0,0,6,0,0,0,0,0,0,5,0,0,0
302,335,0,0,0,0,8,5,0,0,12,0,0,0,0,0,0,5,0,0,0
303,512,0,0,0,0,4,5,0,0,9,0,0,0,0,0,0,2,0,0,0
304,518,0,0,0,0,2,5,0,0,7,0,0,0,0,0,0,1,0,0,0
305,262,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0
306,134,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
307,210,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0
308,324,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0
309,495,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0
310,501,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0
311,507,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0
312,256,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
313,262,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
314,268,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
315,137,0,3,0,1,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0
316,143,0,13,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
317,149,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,77,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,41,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
323,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
324,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0
325,6,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,1,0
